"Gene","logFC","adj.P.Val","P","SignedZ"
"artQ",-0.475776245892127,0.245438461003008,0.245438461003008,-1.16150039902334
"yghT",0.861058419844306,0.245550765600442,0.245550765600442,1.16122412663203
"phnJ",1.20410734282888,0.246008976649549,0.246008976649549,1.16009783229758
"soxR",0.372867604027084,0.24633002791072,0.24633002791072,1.15930955614539
"yiaG",-0.631830701900975,0.246338255468464,0.246338255468464,-1.15928936451478
"yahM",0.61516586873163,0.246467413595237,0.246467413595237,1.15897245349938
"nfeF",-0.62475173481739,0.24810268761256,0.24810268761256,-1.1549700592049
"gcvA",-0.210535360131054,0.24810268761256,0.24810268761256,-1.1549700592049
"paaC",0.677920767528702,0.249152945391207,0.249152945391207,1.1524092410374
"yeeR",-1.62190760892818,0.249461564517152,0.249461564517152,-1.15165817761923
"fixC",0.66639968380932,0.249618203431336,0.249618203431336,1.15127722556266
"gltL",-0.478631004412568,0.249714852146275,0.249714852146275,-1.15104225537726
"psd",0.14108998489957,0.249982071888421,0.249982071888421,1.15039292726252
"cbrB",-0.326813230711603,0.249990962073974,0.249990962073974,-1.15037133297536
"dgcM",-0.737030961819265,0.251364932278986,0.251364932278986,-1.14704038051808
"ydiB",0.458160817848965,0.25278967895289,0.25278967895289,1.14359971735993
"yehA",0.995073151842397,0.254903144001241,0.254903144001241,1.13852064316919
"sgcC",0.399272919748091,0.255214875226612,0.255214875226612,1.13777397389146
"ycjR",0.501580136486981,0.255554377445298,0.255554377445298,1.13696150752721
"ykfC",0.310513292283711,0.255554377445298,0.255554377445298,1.13696150752721
"sgcX",0.633829353493012,0.255772339953965,0.255772339953965,1.13644029447481
"atpA",-0.424558798502175,0.256000310735024,0.256000310735024,-1.13589547878706
"yicL",-0.185432210321074,0.256066768781379,0.256066768781379,-1.13573671756531
"trkH",-0.139995338079747,0.256295807940536,0.256295807940536,-1.13518978651873
"rpnB",0.258984192737159,0.256407131575498,0.256407131575498,1.1349240753042
"nimT",-0.413544045200458,0.256842690817529,0.256842690817529,-1.13388523620229
"gltB",-0.458201060985337,0.256909358353445,0.256909358353445,-1.13372633744544
